Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
0,2000,-2000,515,2570717,1.753004e+10,1.4976946,8.4368076,0.95755976,0.90736258,2.0397859,2615,2.1023896
1,2000,-1800,521,2563625.5,1.7455481e+10,1.4934266,8.4930534,0.96394348,0.90812564,2.0328999,2615,2.1009033
2,2000,-1600,524,2558813,1.7567959e+10,1.3619268,8.8298979,1.0021746,0.91261822,1.9934965,2615,2.1851051
3,2000,-1400,534,2598190.5,1.7942481e+10,1.3478857,8.9715347,1.0182501,0.91446918,1.9778118,2615,2.1848862
4,2000,-1200,540,2633400.5,1.8429759e+10,1.3321892,9.0924835,1.0319775,0.91603261,1.9648049,2615,2.1882572
5,2000,-1000,548,2692135.5,1.914112e+10,1.317295,9.2204437,1.0465008,0.91766989,1.9514154,2615,2.1906235
6,2000,-800,559,2805946.2,2.053572e+10,1.3070167,9.3444347,1.0605735,0.91924036,1.9387912,2615,2.1895168
7,2000,-600,568,2901421,2.1750561e+10,1.3012333,9.4328442,1.0706078,0.92035067,1.9299923,2615,2.1875069
8,2000,-400,560,2870110.8,2.17436e+10,1.2915647,9.4250898,1.0697277,0.92025357,1.9307574,2615,2.1967096
9,2000,-200,543,2751548,2.0836041e+10,1.2727466,9.3980503,1.0666587,0.9199146,1.9334353,2615,2.2156401
10,2000,0,497,2376947.5,1.736252e+10,1.2327415,9.2651491,1.0515747,0.91823792,1.9468248,2615,2.2623181
11,2000,200,446,1921633.2,1.287768e+10,1.1816391,9.1323156,1.0364984,0.91654408,1.9605968,2615,2.3195603
12,2000,400,384,1441011.2,8.5747599e+09,1.1198857,8.9505243,1.0158654,0.91419601,1.9801071,2615,2.3914003
13,2000,600,328,1045565.6,5.2933202e+09,0.9997319,8.9820776,1.0194467,0.91460609,1.9766641,2615,2.4991658
14,2000,800,273,709181.88,2.8914801e+09,0.74897581,9.3065109,1.0562693,0.91876167,1.9426167,2615,2.70614
15,2000,1000,255,593659.5,1.5872e+09,1.5630982,6.3644862,0.72235566,0.87613255,2.3783474,2615,2.2911091
17,2000,1400,1469,9603836,7.63242e+10,1.1787304,18.38913,2.087127,1.0065387,1.4770467,2615,1.8933367
18,2000,1600,1472,9488347,7.5042644e+10,1.1742877,18.478037,2.0972178,1.0072201,1.4747514,2615,1.8949541
19,2000,1800,1476,9388760,7.3920561e+10,1.1656229,18.628143,2.1142545,1.0083654,1.4709258,2615,1.8987397
20,2000,2000,1481,9301342,7.2921719e+10,1.1646588,18.704115,2.1228771,1.0089425,1.469013,2615,1.8977355
21,2000,2200,1486,9232567,7.2134803e+10,1.1596531,18.826965,2.1368206,1.0098722,1.4659525,2615,1.8991077
22,2000,2400,1490,9170723,7.1451804e+10,1.1588538,18.888998,2.1438611,1.01034,1.4644223,2615,1.8983247
23,2000,2600,1496,9126972,7.0918603e+10,1.1535647,19.030077,2.1598732,1.0113997,1.4609793,2615,1.8995695
24,2000,2800,1501,9094724,7.054644e+10,1.152526,19.109369,2.1688728,1.0119928,1.4590665,2615,1.8986208
25,2000,3000,1509,9085623,7.0317081e+10,1.1508172,19.237621,2.183429,1.0129485,1.4560062,2615,1.8971424
26,2000,3200,1511,9064899,7.013616e+10,1.150381,19.269953,2.1870987,1.0131887,1.455241,2615,1.8967804
27,2000,3400,1500,8884707,6.7953562e+10,1.149997,19.125307,2.1706817,1.0121119,1.458684,2615,1.9004345
28,2000,3600,1505,8902150,6.8081521e+10,1.1489457,19.205397,2.1797717,1.0127088,1.4567713,2615,1.8994942
29,2000,3800,1509,8914471,6.8136321e+10,1.1480882,19.269953,2.1870987,1.0131887,1.455241,2615,1.8987556
30,2000,4000,1512,8940043,6.833048e+10,1.131924,19.499357,2.2131355,1.0148847,1.4498852,2615,1.9075692
31,2000,4200,1516,8977485,6.8579561e+10,1.131065,19.565908,2.2206888,1.0153741,1.448355,2615,1.9068217
32,2000,4400,1519,9031419,6.9137564e+10,1.1304114,19.616119,2.2263877,1.0157424,1.4472073,2615,1.9062692
33,2000,4600,1518,9052486,6.9239284e+10,1.1335123,19.565908,2.2206888,1.0153741,1.448355,2615,1.9046921
34,2000,4800,1527,9174901,7.0419284e+10,1.1315007,19.717321,2.237874,1.0164829,1.444912,2615,1.9030806
35,2000,5000,1528,9241470,7.1069e+10,1.1312727,19.734289,2.2397997,1.0166068,1.4445294,2615,1.9029055
36,2000,5200,1530,9320643,7.1750361e+10,1.1322367,19.751287,2.241729,1.0167308,1.4441469,2615,1.9016968
37,2000,5400,1535,9452011,7.3090884e+10,1.131071,19.836716,2.251425,1.0173531,1.4422342,2615,1.900843
38,2000,5600,1536,9560396,7.4262282e+10,1.1308352,19.853891,2.2533743,1.0174779,1.4418516,2615,1.9006747
39,2000,5800,1536,9667631,7.5396522e+10,1.132247,19.836716,2.251425,1.0173531,1.4422342,2615,1.8998259
40,2000,6000,1538,9804321,7.6854796e+10,1.1317713,19.871096,2.255327,1.0176029,1.441469,2615,1.8994929
41,2000,6200,1544,9993991,7.8938161e+10,1.1303228,19.974951,2.2671144,1.0183557,1.4391737,2615,1.8985115
42,2000,6400,1542,10108816,8.0179479e+10,1.1322101,19.922888,2.2612054,1.0179787,1.4403213,2615,1.8979987
65536,2200,-2000,518,2499778.8,1.658308e+10,1.5152889,8.3690672,0.9498713,0.90643847,2.048202,2615,2.0934236
65537,2200,-1800,518,2458971,1.634404e+10,1.4995136,8.4461308,0.95861781,0.9074893,2.0386381,2615,2.0999315
65538,2200,-1600,529,2486726.8,1.652132e+10,1.4982152,8.5182924,0.96680808,0.90846682,2.0298393,2615,2.094393
65539,2200,-1400,536,2510054,1.682492e+10,1.3691486,8.8708878,1.0068269,0.91315615,1.9889059,2615,2.1751688
65540,2200,-1200,545,2550836.2,1.72458e+10,1.35448,9.0103121,1.0226512,0.91497213,1.9736037,2615,2.1757562
65541,2200,-1000,553,2603851.8,1.785728e+10,1.3399837,9.139595,1.0373245,0.91663736,1.9598317,2615,2.1774173
65542,2200,-800,564,2695283.8,1.888332e+10,1.3215629,9.3065109,1.0562693,0.91876167,1.9426167,2615,2.1797562
65543,2200,-600,577,2832120,2.047744e+10,1.3128853,9.4367256,1.0710483,0.92039925,1.9296098,2615,2.1768818
65544,2200,-400,580,2889366.2,2.134348e+10,1.3058301,9.4914093,1.0772548,0.9210819,1.9242541,2615,2.1787698
65545,2200,-200,574,2882703.8,2.15284e+10,1.2974476,9.4914093,1.0772548,0.9210819,1.9242541,2615,2.1861999
65546,2200,0,546,2674017.2,1.9771199e+10,1.2712464,9.4250898,1.0697277,0.92025357,1.9307574,2615,2.2148051
65547,2200,200,489,2207066,1.53888e+10,1.2173097,9.2763929,1.0528508,0.91838044,1.9456772,2615,2.2752869
65548,2200,400,421,1666068.9,1.045212e+10,1.1598456,9.0494251,1.0270905,0.91547781,1.9693955,2615,2.3464072
65549,2200,600,350,1154752.6,6.1648399e+09,1.0588175,8.9365721,1.0142819,0.91401434,1.9816374,2615,2.4486215
65550,2200,800,295,857676.25,4.3911997e+09,0.770684,9.3980503,1.0666587,0.9199146,1.9334353,2615,2.6783264
65551,2200,1000,255,562885.75,1.44384e+09,1.5630982,6.3644862,0.72235566,0.87613255,2.3783474,2615,2.2911091
65553,2200,1400,1469,9369887,7.3046196e+10,1.1787304,18.38913,2.087127,1.0065387,1.4770467,2615,1.8933367
65554,2200,1600,1473,9252282,7.1765803e+10,1.1740971,18.492939,2.0989091,1.0073342,1.4743688,2615,1.8947527
65555,2200,1800,1478,9151032,7.064404e+10,1.16524,18.658457,2.1176951,1.0085959,1.4701607,2615,1.8983357
65556,2200,2000,1483,9063812,6.96692e+10,1.1642668,18.734676,2.1263459,1.0091742,1.4682479,2615,1.897339
65557,2200,2200,1487,8985301,6.8838203e+10,1.1594546,18.842436,2.1385763,1.0099889,1.46557,2615,1.8989108
65558,2200,2400,1494,8929265,6.817416e+10,1.1580399,18.951441,2.1509483,1.0108097,1.4628922,2615,1.8975542
65559,2200,2600,1498,8878459,6.7624002e+10,1.153152,19.061716,2.1634641,1.0116366,1.4602143,2615,1.8991877
65560,2200,2800,1507,8859066,6.7304759e+10,1.1512499,19.205397,2.1797717,1.0127088,1.4567713,2615,1.8975074
65561,2200,3000,1511,8833206,6.7008201e+10,1.150381,19.269953,2.1870987,1.0131887,1.455241,2615,1.8967804
65562,2200,3200,1516,8831991,6.6981679e+10,1.1451818,19.400375,2.2019014,1.0141547,1.4521806,2615,1.8983043
65563,2200,3400,1505,8646186,6.4764039e+10,1.1489457,19.205397,2.1797717,1.0127088,1.4567713,2615,1.8994942
65564,2200,3600,1511,8667654,6.490932e+10,1.1476542,19.302393,2.1907806,1.0134294,1.4544759,2615,1.8983908
65565,2200,3800,1513,8671968,6.4933962e+10,1.1472164,19.334944,2.1944749,1.0136707,1.4537108,2615,1.8980291
65566,2200,4000,1521,8735800,6.5444438e+10,1.129971,19.649738,2.2302034,1.0159887,1.4464422,2615,1.9059044
65567,2200,4200,1520,8737436,6.5394602e+10,1.1301917,19.632914,2.2282939,1.0158656,1.4468248,2615,1.9060864
65568,2200,4400,1526,8804365,6.5967161e+10,1.1288544,19.734289,2.2397997,1.0166068,1.4445294,2615,1.9050062
65569,2200,4600,1530,8869735,6.6498879e+10,1.1308138,19.768314,2.2436616,1.016855,1.4437643,2615,1.9025573
65570,2200,4800,1533,8947032,6.7236999e+10,1.1301188,19.819571,2.2494791,1.0172284,1.4426167,2615,1.9020407
65571,2200,5000,1537,9041318,6.8104798e+10,1.1291795,19.888329,2.2572832,1.017728,1.4410864,2615,1.9013627
65572,2200,5200,1541,9151459,6.9190803e+10,1.1296421,19.940212,2.2631717,1.0181042,1.4399388,2615,1.8998439
65573,2200,5400,1542,9248588,7.0164283e+10,1.1294008,19.957567,2.2651412,1.01823,1.4395562,2615,1.8996801
65574,2200,5600,1540,9325865,7.0921601e+10,1.1298826,19.922888,2.2612054,1.0179787,1.4403213,2615,1.9000086
65575,2200,5800,1542,9463418,7.2397201e+10,1.1308093,19.940212,2.2631717,1.0181042,1.4399388,2615,1.8988357
65576,2200,6000,1548,9640472,7.4216563e+10,1.1293387,20.044794,2.2750413,1.0188605,1.4376434,2615,1.8978728
65577,2200,6200,1550,9794703,7.5890958e+10,1.1302377,20.06233,2.2770319,1.0189871,1.4372609,2615,1.8967266
65578,2200,6400,1544,9864449,7.651124e+10,1.1317225,19.957567,2.2651412,1.01823,1.4395562,2615,1.897676
131072,2400,-2000,523,2461681.8,1.599656e+10,1.5236847,8.3568668,0.94848669,0.90627146,2.0497322,2615,2.0872986
131073,2400,-1800,528,2433852.2,1.57258e+10,1.52117,8.3997231,0.95335072,0.90685737,2.0443764,2615,2.0854309
131074,2400,-1600,535,2433700.5,1.5731e+10,1.5171958,8.4617138,0.96038651,0.90770096,2.0367253,2615,2.0830872
131075,2400,-1400,535,2398320.2,1.550932e+10,1.5017477,8.5373211,0.96896774,0.90872353,2.027544,2615,2.089565
131076,2400,-1200,548,2462711.5,1.608524e+10,1.3761715,8.9122591,1.0115225,0.91369724,1.9843153,2615,2.165416
131077,2400,-1000,562,2536787.5,1.672068e+10,1.3643485,9.0709038,1.0295283,0.9157548,1.9671003,2615,2.1619432
131078,2400,-800,573,2612465,1.7491321e+10,1.3415762,9.2651491,1.0515747,0.91823792,1.9468248,2615,2.1655502
131079,2400,-600,584,2724597.2,1.8755199e+10,1.3277544,9.4096203,1.0679718,0.92005974,1.9322877,2615,2.1659377
131080,2400,-400,597,2874942.2,2.0475841e+10,1.3218292,9.5268984,1.0812827,0.92152339,1.9208111,2615,2.1618307
131081,2400,-200,601,2949918.2,2.146852e+10,1.3152689,9.5866404,1.0880632,0.92226386,1.9150727,2615,2.162941
131082,2400,0,589,2898744.5,2.124508e+10,1.3003585,9.5786314,1.0871543,0.9221648,1.9158378,2615,2.1767588
131083,2400,200,548,2603854,1.8750921e+10,1.2665081,9.460084,1.0736995,0.92069119,1.9273145,2615,2.2162385
131084,2400,400,468,1962930.5,1.289448e+10,1.1983793,9.2130346,1.0456599,0.91757554,1.9521806,2615,2.2976291
131085,2400,600,384,1343740.4,7.6036398e+09,1.1131021,8.9750462,1.0186487,0.91451478,1.9774293,2615,2.3954649
131086,2400,800,315,956341.88,5.0982799e+09,0.78923589,9.4835587,1.0763637,0.92098409,1.9250191,2615,2.6540964
131087,2400,1000,255,535910.81,1.32096e+09,1.5630982,6.3644862,0.72235566,0.87613255,2.3783474,2615,2.2911091
131089,2400,1400,1469,9142086,6.9885796e+10,1.1787304,18.38913,2.087127,1.0065387,1.4770467,2615,1.8933367
131090,2400,1600,1474,9022973,6.8608999e+10,1.1699822,18.552786,2.1057017,1.0077913,1.4728385,2615,1.8968219
131091,2400,1800,1479,8917739,6.7481842e+10,1.1650472,18.673651,2.1194198,1.0087113,1.4697781,2615,1.8981348
131092,2400,2000,1485,8829405,6.6506838e+10,1.1638712,18.765339,2.1298261,1.0094064,1.4674828,2615,1.8969455
131093,2400,2200,1490,8750675,6.5678639e+10,1.1588538,18.888998,2.1438611,1.01034,1.4644223,2615,1.8983247
131094,2400,2400,1497,8695434,6.5039442e+10,1.1533587,19.045883,2.1616673,1.0115181,1.4605968,2615,1.8993782
131095,2400,2600,1505,8653201,6.4512401e+10,1.1516789,19.173281,2.1761265,1.0124696,1.4575363,2615,1.8978755
131096,2400,2800,1510,8618057,6.4129561e+10,1.1505995,19.253773,2.1852622,1.0130686,1.4556235,2615,1.8969611
131097,2400,3000,1515,8594103,6.3840199e+10,1.1494974,19.334944,2.1944749,1.0136707,1.4537108,2615,1.8960657
131098,2400,3200,1523,8602969,6.3849042e+10,1.1436058,19.515953,2.215019,1.0150068,1.4495027,2615,1.8970739
131099,2400,3400,1511,8419320,6.1721121e+10,1.1476542,19.302393,2.1907806,1.0134294,1.4544759,2615,1.8983908
131100,2400,3600,1517,8439722,6.1852242e+10,1.14633,19.400375,2.2019014,1.0141547,1.4521806,2615,1.8973149
